# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,118.93229204493933,0.0,0.48076372159649977,2.0800238351580322,0.0,0.0
 0.0813953356849834,0.016563001678177834,0.20348833921245854,2.5000000000000004,118.93229204493933,0.0,0.48076372159649977,2.0800238351580322,0.0,0.0
 0.11490776581473765,0.03300948661133648,0.4907577537493027,8.572025765502158,119.38692847666387,0.0,0.4863656259602234,2.056066355482497,13.566203046578803,404.81108036787685
 0.14048662804757783,0.04934123165044621,0.6384859846557887,5.775402735342179,119.84364019819668,0.0,0.49191160286394287,2.0328855716716823,17.855044425957885,167.67131158291804
 0.16193826689459134,0.06556000571205975,0.7560622373554229,5.480991617384197,120.30235080454524,0.0,0.49739608676648867,2.010470179813593,21.383476088701,164.4830815914253
 0.1807402217108405,0.08166756936020947,0.8566962215135803,5.352314966270781,120.76298128906758,0.0,0.5028134491235063,1.98880917314996,24.499074113519644,165.70606914372868
 0.19765189033525798,0.09766567438275213,0.9459802801152457,5.279435198532386,121.225450069849,0.0,0.5081580085710691,1.9678918429564487,27.346135443648887,168.34893075060518
 0.21312537470944048,0.11355606336259855,1.0269431626117465,5.232362701162982,121.68967302133322,0.0,0.51342404159611,1.9477077795018016,30.001190440257872,171.58740283726556
 0.22745590275413574,0.12934046924424714,1.1014531936589396,5.19939187270734,122.15556351104864,0.0,0.5186057935137511,1.92824687365064,32.510350509232445,175.09194784370777
 0.2408490107068152,0.14502061489612894,1.170762283652377,5.174981806935359,122.62303244156885,0.0,0.5236974901261566,1.9094993175527804,34.90369316605775,178.69957184556952
 0.2534547002280482,0.1605982126692245,1.2357592773371613,5.156163300333814,123.09198829772237,0.0,0.5286933495209973,1.891455606366171,37.20192024114127,182.31664925686033
 0.2653864834180437,0.17607496395248903,1.2971029591152319,5.141199835872459,123.5623371990411,0.0,0.5335875942643264,1.8741065398619896,39.41983304835061,185.88276135196637
 0.276732765480076,0.19145255872562697,1.3552981222453016,5.129007265279102,124.03398295731455,0.0,0.538374464036675,1.8574432236293403,41.56830895749641,189.3550589875757
 0.287564027729305,0.20673267510975135,1.4107419830234553,5.11887345190082,124.50682713941087,0.0,0.5430482282498893,1.8414570713594882,43.65550119793073,192.70073906509785
 0.29793756320178494,0.2219169789165441,1.463753977327726,5.1103111803017125,124.98076913509442,0.0,0.5476031990147183,1.8261398067054067,45.68760543990679,195.89312123788895
 0.3079007133453715,0.23700712319647171,1.5145956913678926,5.102975796555098,125.45570622981943,0.0,0.5520337442998574,1.8114834651426912,47.66937041802341,198.90947637603534
 0.31749314813815926,0.252004747786698,1.5634846537088292,5.096616593911542,125.93153368244188,0.0,0.5563343009004955,1.797480396914907,49.60445005893756,201.72976754234256
 0.32674851421808265,0.26691147885931155,1.6106041558906035,5.091046834331628,126.4081448075576,0.0,0.5604993877627094,1.7841232690576208,51.49565354844057,204.33589262399698
 0.3356956529182353,0.28172892847050085,1.6561104178407944,5.086124567333985,126.8854310625234,0.0,0.5645236189387217,1.771405068719629,53.34512752749013,206.71122255185375
 0.34435951801066156,0.296458694111338,1.7001379273222448,5.081739963834163,127.36328213870924,0.0,0.5684017167511868,1.7593191057122401,55.15449179876812,208.8403099512355
 0.35276187904070744,0.3111023582608269,1.7428034926284175,5.077806720468871,127.84158605706162,0.0,0.5721285244271384,1.7478590164706111,56.92494248247718,210.7087135839713
 0.3609218685210866,0.32566148794188143,1.7842093689044867,5.074256085210691,128.32022926746635,0.0,0.5756990188556617,1.7370187671810473,58.657331796277425,212.30288567967108
 0.36885641340821057,0.340137634280922,1.824445704823241,5.071032616382202,128.7990967519408,0.0,0.5791083227446836,1.726792658168856,60.35223081937825,213.61011213778218
 0.3765805794630056,0.35453233207173285,1.8635924821780447,5.0680911152217,129.27807213113576,0.0,0.5823517166366547,1.7171753279537896,62.0099795624719,214.61847548766096
 0.3841078490967378,0.3688470993443059,1.9017210713993593,5.065394369619466,129.75703777405326,0.0,0.5854246502877002,1.7081617583211801,63.630727504578545,215.31684408428
 0.3914503477782599,0.3830834369393017,1.9388954921874963,5.062911469318892,130.235874910566,0.0,0.5883227538290383,1.6997472790090178,65.2144668023938,215.6948698950181
 0.39861903019742206,0.39724282808883343,1.9751734449392122,5.0606165304161586,130.71446374647886,0.0,0.5910418480789684,1.6919275737415993,66.76105983347365,215.74299719928246
 0.4056238346074964,0.41132673800422426,2.010607162012302,5.058487717676874,131.19268358074996,0.0,0.593577954475759,1.684698686094547,68.27026227646627,215.45247442199408
 0.4124738117608958,0.4253366134714075,2.0452441159209727,5.0565064865189315,131.67041292460402,0.0,0.5959273042366758,1.67805702623561,69.7417426592414,214.81537088702396
 0.4191772333772962,0.43927388245461074,2.0791276128454754,5.054656989141868,132.1475296220827,0.0,0.5980863469628,1.6719993778125792,71.17509904365319,213.8245908484985
 0.42574168398641826,0.45313995370897825,2.112297293409284,5.052925604728475,132.62391097178005,0.0,0.6000517582103214,1.6665229062615203,72.56987340804325,212.4738911816722
 0.43217413916278413,0.466936216402734,2.144789557873012,5.0513005645358104,133.09943384927854,0.0,0.6018204466032864,1.6616251668484594,73.92556410585853,210.75789269334544
 0.43848103254280696,0.48066403974951555,2.1766379292639777,5.0497716501512135,133.57397483000483,0.0,0.603389559834735,1.6573041142340852,75.2416367508922,208.67209349096336
